ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-08-05 00:00:00+00:00,34,1,42002321,114.15625,114.6875,114.09375,114.46875,185149,ZN.v.0
2024-08-05 01:00:00+00:00,34,1,42002321,114.453125,114.609375,114.28125,114.375,59976,ZN.v.0
2024-08-05 02:00:00+00:00,34,1,42002321,114.390625,114.390625,114.15625,114.234375,40969,ZN.v.0
2024-08-05 03:00:00+00:00,34,1,42002321,114.234375,114.328125,114.1875,114.25,29678,ZN.v.0
2024-08-05 04:00:00+00:00,34,1,42002321,114.265625,114.5,114.25,114.484375,39526,ZN.v.0
2024-08-05 05:00:00+00:00,34,1,42002321,114.484375,114.78125,114.421875,114.703125,58749,ZN.v.0
2024-08-05 06:00:00+00:00,34,1,42002321,114.703125,115.046875,114.578125,114.65625,182497,ZN.v.0
2024-08-05 07:00:00+00:00,34,1,42002321,114.671875,114.671875,114.28125,114.390625,195201,ZN.v.0
2024-08-05 08:00:00+00:00,34,1,42002321,114.375,114.53125,114.3125,114.46875,99659,ZN.v.0
2024-08-05 09:00:00+00:00,34,1,42002321,114.46875,114.578125,114.359375,114.453125,89037,ZN.v.0
2024-08-05 10:00:00+00:00,34,1,42002321,114.4375,114.65625,114.40625,114.578125,115205,ZN.v.0
2024-08-05 11:00:00+00:00,34,1,42002321,114.5625,114.78125,114.5,114.765625,137848,ZN.v.0
2024-08-05 12:00:00+00:00,34,1,42002321,114.765625,115.109375,114.71875,114.90625,323294,ZN.v.0
2024-08-05 13:00:00+00:00,34,1,42002321,114.90625,114.984375,114.53125,114.6875,380779,ZN.v.0
2024-08-05 14:00:00+00:00,34,1,42002321,114.6875,114.6875,114.0625,114.359375,508487,ZN.v.0
2024-08-05 15:00:00+00:00,34,1,42002321,114.34375,114.4375,113.96875,114.0625,309190,ZN.v.0
2024-08-05 16:00:00+00:00,34,1,42002321,114.078125,114.09375,113.765625,114.03125,214601,ZN.v.0
2024-08-05 17:00:00+00:00,34,1,42002321,114.015625,114.109375,113.890625,114.046875,148982,ZN.v.0
2024-08-05 18:00:00+00:00,34,1,42002321,114.046875,114.171875,113.984375,114.109375,202600,ZN.v.0
2024-08-05 19:00:00+00:00,34,1,42002321,114.09375,114.28125,114.078125,114.140625,195414,ZN.v.0
2024-08-05 20:00:00+00:00,34,1,42002321,114.15625,114.1875,114.015625,114.03125,88807,ZN.v.0
2024-08-05 22:00:00+00:00,34,1,42002321,114.015625,114.09375,113.96875,113.984375,13419,ZN.v.0
2024-08-05 23:00:00+00:00,34,1,42002321,114.0,114.015625,113.6875,113.6875,42542,ZN.v.0
2024-08-06 00:00:00+00:00,34,1,42002321,113.703125,113.765625,113.578125,113.6875,90802,ZN.v.0
2024-08-06 01:00:00+00:00,34,1,42002321,113.6875,113.75,113.59375,113.671875,49435,ZN.v.0
2024-08-06 02:00:00+00:00,34,1,42002321,113.671875,113.734375,113.640625,113.6875,23718,ZN.v.0
2024-08-06 03:00:00+00:00,34,1,42002321,113.671875,113.71875,113.609375,113.65625,19935,ZN.v.0
2024-08-06 04:00:00+00:00,34,1,42002321,113.671875,113.6875,113.546875,113.59375,25464,ZN.v.0
2024-08-06 05:00:00+00:00,34,1,42002321,113.59375,113.734375,113.5625,113.578125,29159,ZN.v.0
2024-08-06 06:00:00+00:00,34,1,42002321,113.578125,113.65625,113.4375,113.515625,98404,ZN.v.0
