ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-08-05 00:00:00+00:00,34,1,393,2483.2,2483.2,2455.7,2464.3,14992,GC.v.0
2024-08-05 01:00:00+00:00,34,1,393,2463.7,2484.2,2462.1,2481.5,13310,GC.v.0
2024-08-05 02:00:00+00:00,34,1,393,2481.6,2488.5,2475.1,2484.7,6635,GC.v.0
2024-08-05 03:00:00+00:00,34,1,393,2484.7,2494.5,2484.6,2492.8,6797,GC.v.0
2024-08-05 04:00:00+00:00,34,1,393,2493.0,2500.8,2492.8,2494.6,7978,GC.v.0
2024-08-05 05:00:00+00:00,34,1,393,2494.6,2494.6,2473.6,2479.7,14440,GC.v.0
2024-08-05 06:00:00+00:00,34,1,393,2479.6,2480.3,2463.6,2470.0,15938,GC.v.0
2024-08-05 07:00:00+00:00,34,1,393,2470.0,2486.8,2465.9,2473.2,15155,GC.v.0
2024-08-05 08:00:00+00:00,34,1,393,2473.3,2475.8,2464.1,2465.8,11406,GC.v.0
2024-08-05 09:00:00+00:00,34,1,393,2466.1,2469.7,2460.0,2464.9,13868,GC.v.0
2024-08-05 10:00:00+00:00,34,1,393,2465.0,2466.4,2448.6,2449.1,14742,GC.v.0
2024-08-05 11:00:00+00:00,34,1,393,2449.0,2449.0,2423.1,2426.8,32036,GC.v.0
2024-08-05 12:00:00+00:00,34,1,393,2426.9,2433.0,2403.8,2414.1,39037,GC.v.0
2024-08-05 13:00:00+00:00,34,1,393,2414.2,2437.4,2414.2,2434.1,35452,GC.v.0
2024-08-05 14:00:00+00:00,34,1,393,2433.4,2438.0,2426.1,2437.1,20860,GC.v.0
2024-08-05 15:00:00+00:00,34,1,393,2436.9,2452.8,2436.7,2443.3,20114,GC.v.0
2024-08-05 16:00:00+00:00,34,1,393,2443.3,2449.6,2439.5,2443.7,10562,GC.v.0
2024-08-05 17:00:00+00:00,34,1,393,2443.7,2447.7,2441.0,2446.2,8697,GC.v.0
2024-08-05 18:00:00+00:00,34,1,393,2446.2,2450.2,2444.9,2446.1,3670,GC.v.0
2024-08-05 19:00:00+00:00,34,1,393,2446.2,2454.7,2445.8,2449.0,5657,GC.v.0
2024-08-05 20:00:00+00:00,34,1,393,2449.3,2453.1,2446.9,2452.1,2520,GC.v.0
2024-08-05 22:00:00+00:00,34,1,393,2451.7,2453.8,2449.0,2450.1,1241,GC.v.0
